,rocket,success,id
0,5e9d0d95eda69955f709d1eb,FALSE,5eb87cd9ffd86e000604b32a
1,5e9d0d95eda69955f709d1eb,FALSE,5eb87cdaffd86e000604b32b
2,5e9d0d95eda69955f709d1eb,FALSE,5eb87cdbffd86e000604b32c
3,5e9d0d95eda69955f709d1eb,TRUE,5eb87cdbffd86e000604b32d
4,5e9d0d95eda69955f709d1eb,TRUE,5eb87cdcffd86e000604b32e
5,5e9d0d95eda69973a809d1ec,TRUE,5eb87cddffd86e000604b32f
6,5e9d0d95eda69973a809d1ec,TRUE,5eb87cdeffd86e000604b330
7,5e9d0d95eda69973a809d1ec,TRUE,5eb87cdfffd86e000604b331
8,5e9d0d95eda69973a809d1ec,TRUE,5eb87ce0ffd86e000604b332
9,5e9d0d95eda69973a809d1ec,TRUE,5eb87ce1ffd86e000604b333
10,5e9d0d95eda69973a809d1ec,TRUE,5eb87ce1ffd86e000604b334
11,5e9d0d95eda69973a809d1ec,TRUE,5eb87ce2ffd86e000604b335
12,5e9d0d95eda69973a809d1ec,TRUE,5eb87ce3ffd86e000604b336
13,5e9d0d95eda69973a809d1ec,TRUE,5eb87ce4ffd86e000604b337
14,5e9d0d95eda69973a809d1ec,TRUE,5eb87ce4ffd86e000604b338
15,5e9d0d95eda69973a809d1ec,TRUE,5eb87ce5ffd86e000604b339
16,5e9d0d95eda69973a809d1ec,TRUE,5eb87ce6ffd86e000604b33a
17,5e9d0d95eda69973a809d1ec,TRUE,5eb87ce7ffd86e000604b33b
18,5e9d0d95eda69973a809d1ec,TRUE,5eb87ce8ffd86e000604b33c
19,5e9d0d95eda69973a809d1ec,TRUE,5eb87ceaffd86e000604b33d
20,5e9d0d95eda69973a809d1ec,TRUE,5eb87ceaffd86e000604b33e
21,5e9d0d95eda69973a809d1ec,TRUE,5eb87cecffd86e000604b33f
22,5e9d0d95eda69973a809d1ec,TRUE,5eb87cedffd86e000604b340
23,5e9d0d95eda69973a809d1ec,FALSE,5eb87ceeffd86e000604b341
24,5e9d0d95eda69973a809d1ec,TRUE,5eb87cefffd86e000604b342
25,5e9d0d95eda69973a809d1ec,TRUE,5eb87cf0ffd86e000604b343
26,5e9d0d95eda69973a809d1ec,TRUE,5eb87cf2ffd86e000604b344
27,5e9d0d95eda69973a809d1ec,TRUE,5eb87cf3ffd86e000604b345
28,5e9d0d95eda69973a809d1ec,TRUE,5eb87cf5ffd86e000604b346
29,5e9d0d95eda69973a809d1ec,TRUE,5eb87cf6ffd86e000604b347
30,5e9d0d95eda69973a809d1ec,TRUE,5eb87cf8ffd86e000604b348
31,5e9d0d95eda69973a809d1ec,TRUE,5eb87cf9ffd86e000604b349
32,5e9d0d95eda69973a809d1ec,TRUE,5eb87cfaffd86e000604b34a
33,5e9d0d95eda69973a809d1ec,FALSE,5eb87cfbffd86e000604b34b
34,5e9d0d95eda69973a809d1ec,TRUE,5eb87cfdffd86e000604b34c
35,5e9d0d95eda69973a809d1ec,TRUE,5eb87cfeffd86e000604b34d
36,5e9d0d95eda69973a809d1ec,TRUE,5eb87cfeffd86e000604b34e
37,5e9d0d95eda69973a809d1ec,TRUE,5eb87d00ffd86e000604b34f
38,5e9d0d95eda69973a809d1ec,TRUE,5eb87d01ffd86e000604b350
39,5e9d0d95eda69973a809d1ec,TRUE,5eb87d01ffd86e000604b351
40,5e9d0d95eda69973a809d1ec,TRUE,5eb87d03ffd86e000604b352
41,5e9d0d95eda69973a809d1ec,TRUE,5eb87d04ffd86e000604b353
42,5e9d0d95eda69973a809d1ec,TRUE,5eb87d05ffd86e000604b354
43,5e9d0d95eda69973a809d1ec,TRUE,5eb87d06ffd86e000604b355
44,5e9d0d95eda69973a809d1ec,TRUE,5eb87d07ffd86e000604b356
45,5e9d0d95eda69973a809d1ec,TRUE,5eb87d08ffd86e000604b357
46,5e9d0d95eda69973a809d1ec,TRUE,5eb87d09ffd86e000604b358
47,5e9d0d95eda69973a809d1ec,TRUE,5eb87d0affd86e000604b359
48,5e9d0d95eda69973a809d1ec,TRUE,5eb87d0cffd86e000604b35a
49,5e9d0d95eda69973a809d1ec,TRUE,5eb87d0dffd86e000604b35b
50,5e9d0d95eda69973a809d1ec,TRUE,5eb87d0effd86e000604b35c
51,5e9d0d95eda69973a809d1ec,TRUE,5eb87d0fffd86e000604b35d
52,5e9d0d95eda69973a809d1ec,TRUE,5eb87d10ffd86e000604b35e
53,5e9d0d95eda69973a809d1ec,TRUE,5eb87d11ffd86e000604b35f
54,5e9d0d95eda69974db09d1ed,TRUE,5eb87d13ffd86e000604b360
55,5e9d0d95eda69973a809d1ec,TRUE,5eb87d14ffd86e000604b361
56,5e9d0d95eda69973a809d1ec,TRUE,5eb87d15ffd86e000604b362
57,5e9d0d95eda69973a809d1ec,TRUE,5eb87d16ffd86e000604b363
58,5e9d0d95eda69973a809d1ec,TRUE,5eb87d16ffd86e000604b364
59,5e9d0d95eda69973a809d1ec,TRUE,5eb87d18ffd86e000604b365
60,5e9d0d95eda69973a809d1ec,TRUE,5eb87d19ffd86e000604b366
61,5e9d0d95eda69973a809d1ec,TRUE,5eb87d1affd86e000604b367
62,5e9d0d95eda69973a809d1ec,TRUE,5eb87d1bffd86e000604b368
63,5e9d0d95eda69973a809d1ec,TRUE,5eb87d1cffd86e000604b369
64,5e9d0d95eda69973a809d1ec,TRUE,5eb87d1effd86e000604b36a
65,5e9d0d95eda69973a809d1ec,TRUE,5eb87d1fffd86e000604b36b
66,5e9d0d95eda69973a809d1ec,TRUE,5eb87d20ffd86e000604b36c
67,5e9d0d95eda69973a809d1ec,TRUE,5eb87d22ffd86e000604b36d
68,5e9d0d95eda69973a809d1ec,TRUE,5eb87d23ffd86e000604b36e
69,5e9d0d95eda69973a809d1ec,TRUE,5eb87d24ffd86e000604b36f
70,5e9d0d95eda69973a809d1ec,TRUE,5eb87d25ffd86e000604b370
71,5e9d0d95eda69973a809d1ec,TRUE,5eb87d26ffd86e000604b371
72,5e9d0d95eda69973a809d1ec,TRUE,5eb87d27ffd86e000604b372
73,5e9d0d95eda69973a809d1ec,TRUE,5eb87d28ffd86e000604b373
74,5e9d0d95eda69973a809d1ec,TRUE,5eb87d2affd86e000604b374
75,5e9d0d95eda69973a809d1ec,TRUE,5eb87d2bffd86e000604b375
76,5e9d0d95eda69974db09d1ed,TRUE,5eb87d2dffd86e000604b376
77,5e9d0d95eda69973a809d1ec,TRUE,5eb87d2effd86e000604b377
78,5e9d0d95eda69973a809d1ec,TRUE,5eb87d30ffd86e000604b378
79,5e9d0d95eda69973a809d1ec,TRUE,5eb87d31ffd86e000604b379
80,5e9d0d95eda69974db09d1ed,TRUE,5eb87d35ffd86e000604b37a
81,5e9d0d95eda69973a809d1ec,TRUE,5eb87d36ffd86e000604b37b
82,5e9d0d95eda69973a809d1ec,TRUE,5eb87d37ffd86e000604b37c
83,5e9d0d95eda69973a809d1ec,TRUE,5eb87d39ffd86e000604b37d
84,5e9d0d95eda69973a809d1ec,TRUE,5eb87d39ffd86e000604b37e
85,5e9d0d95eda69973a809d1ec,TRUE,5eb87d3bffd86e000604b37f
86,5e9d0d95eda69973a809d1ec,TRUE,5eb87d3cffd86e000604b380
87,5e9d0d95eda69973a809d1ec,TRUE,5eb87d3dffd86e000604b381
88,5e9d0d95eda69973a809d1ec,TRUE,5eb87d3fffd86e000604b382
89,5e9d0d95eda69973a809d1ec,TRUE,5eb87d41ffd86e000604b383
